department;team;targeted_productivity;smv;over_time;incentive;idle_time;idle_men;no_of_style_change;no_of_workers;actual_productivity
sweing;8;0.8;26.16;7080;98;0;0;0;59;0.940725424
finishing ;1;0.75;3.94;960;0;0;0;0;8;0.8865
sweing;11;0.8;11.41;3660;50;0;0;0;30.5;0.800570492
sweing;12;0.8;11.41;3660;50;0;0;0;30.5;0.800570492
sweing;6;0.8;25.9;1920;50;0;0;0;56;0.800381944
sweing;7;0.8;25.9;6720;38;0;0;0;56;0.800125
finishing ;2;0.75;3.94;960;0;0;0;0;8;0.755166667
sweing;3;0.75;28.08;6900;45;0;0;0;57.5;0.753683478
sweing;2;0.75;19.87;6000;34;0;0;0;55;0.753097531
sweing;1;0.75;28.08;6900;45;0;0;0;57.5;0.750427826
sweing;9;0.7;28.08;6900;44;0;0;0;57.5;0.721126957
sweing;10;0.75;19.31;6480;45;0;0;0;54;0.712205247
sweing;5;0.8;11.41;3660;50;0;0;0;30.5;0.707045902
finishing ;10;0.65;3.94;960;0;0;0;0;8;0.705916667
finishing ;8;0.75;2.9;960;0;0;0;0;8;0.676666667
finishing ;4;0.75;3.94;2160;0;0;0;0;18;0.593055556
finishing ;7;0.8;2.9;960;0;0;0;0;8;0.540729167
sweing;4;0.65;23.69;7200;0;0;0;0;60;0.52118
finishing;11;0.7;4.15;1440;0;0;0;0;12;0.436326389
finishing ;4;0.8;4.15;6600;0;0;0;0;20;0.988024691
finishing ;11;0.75;2.9;5640;0;0;0;0;17;0.987880435
finishing ;9;0.8;4.15;960;0;0;0;0;8;0.956270833
finishing ;3;0.75;3.94;1560;0;0;0;0;8;0.945277778
finishing ;1;0.8;3.94;960;0;0;0;0;8;0.902916667
sweing;1;0.8;28.08;6300;50;0;0;0;56.5;0.800725314
sweing;3;0.8;28.08;6540;50;0;0;0;54.5;0.800322936
sweing;8;0.8;26.16;7080;50;0;0;0;59;0.800318644
sweing;12;0.8;26.16;7080;63;0;0;0;59;0.800318644
sweing;11;0.8;11.61;7080;50;0;0;0;29.5;0.800237288
sweing;5;0.8;11.61;7080;50;0;0;0;31.5;0.800148649
sweing;6;0.8;25.9;6720;50;0;0;0;56;0.800125
sweing;7;0.8;25.9;6720;38;0;0;0;56;0.800125
sweing;10;0.75;19.31;6480;56;0;0;0;54;0.787299691
finishing ;2;0.8;4.15;960;0;0;0;0;8;0.782447917
sweing;2;0.75;19.87;6600;45;0;0;0;55;0.75024303
finishing ;10;0.7;4.15;960;0;0;0;0;8;0.7018125
sweing;4;0.7;23.69;13800;0;0;0;0;60;0.700134038
sweing;9;0.7;28.08;6900;40;0;0;0;57.5;0.699965217
finishing ;8;0.8;2.9;960;0;0;0;0;8;0.628333333
finishing ;7;0.8;3.94;960;0;0;0;0;8;0.6253125
finishing ;3;0.75;4.15;1560;0;0;0;0;8;0.991388889
finishing ;9;0.8;3.94;960;0;0;0;0;8;0.931645833
finishing ;1;0.8;3.94;960;0;0;0;0;8;0.915229167
sweing;6;0.8;11.61;6975;50;0;0;0;31;0.879714482
finishing ;4;0.8;3.94;6600;0;0;0;0;20;0.861679012
sweing;9;0.8;26.16;7080;60;0;0;0;59;0.850569492
sweing;7;0.8;25.9;7020;60;0;0;0;56.5;0.850436438
sweing;8;0.8;25.9;6780;45;0;0;0;56.5;0.850345133
sweing;4;0.8;28.08;4260;50;0;0;0;55.5;0.800598058
sweing;1;0.8;26.16;7080;63;0;0;0;59;0.800318644
sweing;2;0.8;28.08;6660;50;0;0;0;55.5;0.800237838
sweing;12;0.8;11.61;6975;50;0;0;0;31;0.800030199
finishing ;2;0.8;3.94;960;0;0;0;0;8;0.792104167
finishing ;10;0.7;3.94;4320;0;0;0;0;18;0.759228395
sweing;11;0.75;19.31;6480;45;0;0;0;54;0.750348457
sweing;3;0.75;19.87;6600;45;0;0;0;55;0.75024303
sweing;10;0.7;28.08;6900;40;0;0;0;57.5;0.699965217
finishing ;8;0.8;2.9;960;0;0;0;0;8;0.682708333
finishing ;7;0.8;2.9;960;0;0;0;0;8;0.667604167
sweing;5;0.7;45.67;6960;26;0;0;0;58;0.603432184
finishing ;11;0.75;4.15;960;0;0;0;0;8;0.345833333
finishing ;1;0.8;3.94;1920;0;0;0;0;8;0.961059028
finishing ;11;0.8;3.94;2400;0;0;0;0;10;0.939513889
finishing ;4;0.8;3.94;3840;0;0;0;0;16;0.893663194
finishing ;3;0.75;4.15;1920;0;0;0;0;8;0.875390625
sweing;9;0.8;26.16;7080;75;0;0;0;59;0.850569492
finishing ;9;0.8;2.9;1920;0;0;0;0;8;0.820833333
finishing ;2;0.8;3.94;960;0;0;0;0;8;0.804416667
sweing;7;0.8;25.9;6780;50;0;0;0;56.5;0.800684366
sweing;8;0.8;25.9;6780;38;0;0;0;56.5;0.800684366
sweing;1;0.8;26.16;7080;63;0;0;0;59;0.800318644
sweing;11;0.8;19.31;4800;50;0;0;0;55;0.800250962
sweing;6;0.8;11.61;7200;50;0;0;0;32;0.800246011
sweing;12;0.8;11.61;7200;50;0;0;0;32;0.800246011
sweing;2;0.8;28.08;6900;50;0;0;0;57.5;0.800076522
sweing;4;0.8;28.08;6900;50;0;0;0;57.5;0.800076522
finishing ;10;0.75;2.9;960;0;0;0;0;8;0.763375
finishing ;5;0.6;2.9;960;0;0;0;0;8;0.759270833
sweing;10;0.75;28.08;7020;45;0;0;0;58.5;0.7504
sweing;3;0.75;19.87;6600;45;0;0;0;55;0.75024303
finishing ;7;0.8;3.94;960;0;0;0;0;8;0.676666667
finishing ;8;0.8;2.9;960;0;0;0;0;8;0.664583333
sweing;5;0.6;21.98;6960;23;0;0;0;58;0.600028736
finishing ;4;0.8;3.94;4440;0;0;0;0;18;0.966781346
finishing ;1;0.8;3.94;1440;0;0;0;0;8;0.936496212
finishing ;3;0.75;4.15;1800;0;0;0;0;10;0.899166667
finishing ;11;0.8;4.15;2700;0;0;0;0;15;0.888686869
finishing ;9;0.8;3.94;1440;0;0;0;0;8;0.858143939
sweing;1;0.8;26.16;10620;75;0;0;0;59;0.850502311
sweing;9;0.8;26.16;10620;75;0;0;0;59;0.850502311
finishing ;10;0.75;3.94;1440;0;0;0;0;8;0.809640152
finishing ;2;0.8;3.94;1440;0;0;0;0;8;0.805909091
sweing;2;0.8;28.08;10350;50;0;0;0;57.5;0.800594466
sweing;4;0.8;28.08;10350;50;0;0;0;57.5;0.800594466
sweing;3;0.8;19.87;9900;50;0;0;0;55;0.800273829
sweing;12;0.8;11.61;5310;50;0;0;0;31.5;0.800140969
sweing;7;0.8;25.9;10170;38;0;0;0;56.5;0.800128721
sweing;8;0.8;25.9;10170;38;0;0;0;56.5;0.800128721
sweing;6;0.8;11.61;4470;38;0;0;0;31.5;0.80007657
sweing;10;0.75;28.08;10530;45;0;0;0;58.5;0.750545455
sweing;11;0.75;19.31;9900;45;0;0;0;55;0.750057851
finishing ;8;0.8;2.9;1440;0;0;0;0;8;0.681060606
sweing;5;0.65;21.98;10440;35;0;0;0;58;0.649983281
finishing ;7;0.8;2.9;1440;0;0;0;0;8;0.61625
finishing ;1;0.8;3.94;1440;0;0;0;0;8;0.951420455
finishing ;9;0.8;3.94;1440;0;0;0;0;8;0.880530303
sweing;1;0.8;26.16;10620;75;0;0;0;59;0.850502311
sweing;9;0.8;26.16;10620;75;0;0;0;59;0.850502311
sweing;8;0.8;25.9;10170;60;0;0;0;56.5;0.850136766
finishing ;3;0.75;4.15;2700;0;0;0;0;15;0.83
finishing ;4;0.8;3.94;4440;0;0;0;0;18;0.827186544
finishing ;2;0.8;3.94;1440;0;0;0;0;8;0.813371212
finishing ;10;0.75;3.94;1440;0;0;0;0;8;0.805909091
finishing ;7;0.8;2.9;1440;0;0;0;0;8;0.804640152
sweing;2;0.8;28.08;10350;63;0;0;0;57.5;0.800594466
sweing;4;0.8;28.08;10350;50;0;0;0;57.5;0.800594466
sweing;6;0.8;11.41;5490;50;0;0;0;30.5;0.800343766
sweing;3;0.8;19.87;9900;50;0;0;0;55;0.800273829
sweing;12;0.8;11.61;5670;50;0;0;0;31.5;0.800246753
sweing;7;0.8;25.9;10170;50;0;0;0;56.5;0.800128721
sweing;10;0.75;28.08;10530;69;0;0;0;58.5;0.8
sweing;5;0.7;21.98;9720;40;0;0;0;58;0.700480831
finishing ;8;0.8;2.9;1440;0;0;0;0;8;0.681060606
finishing ;6;0.8;2.9;1800;0;0;0;0;10;0.666515152
sweing;11;0.8;31.83;9900;40;0;0;0;55;0.412119835
finishing ;5;0.7;4.15;1440;0;0;0;0;8;0.330113636
finishing ;1;0.8;3.94;1440;0;0;0;0;8;0.947689394
finishing ;4;0.8;3.94;12600;0;0;0;0;20;0.919905405
sweing;9;0.8;26.16;10620;88;0;0;0;59;0.900215716
finishing ;9;0.8;3.94;1440;0;0;0;0;8;0.891723485
sweing;1;0.8;26.16;10620;75;0;0;0;59;0.850502311
sweing;4;0.8;28.08;10530;75;0;0;0;58.5;0.850181818
sweing;7;0.8;25.9;10170;60;0;0;0;56.5;0.850136766
sweing;8;0.8;25.9;10170;60;0;0;0;56.5;0.850136766
finishing ;2;0.8;3.94;1440;0;0;0;0;8;0.835757576
finishing ;5;0.7;4.15;3840;0;0;0;0;8;0.821354167
sweing;2;0.8;28.08;10050;63;0;0;0;58.5;0.800497246
sweing;3;0.8;19.87;9900;50;0;0;0;55;0.800273829
sweing;12;0.8;11.61;15120;63;0;0;0;31.5;0.800107143
sweing;6;0.8;11.41;14640;50;0;0;0;30.5;0.800024932
sweing;10;0.75;28.08;10530;69;0;0;0;58.5;0.8
finishing ;10;0.75;3.94;1440;0;0;0;0;8;0.779791667
finishing ;8;0.8;2.9;1440;0;0;0;0;8;0.735984848
finishing ;3;0.75;4.15;2160;0;0;0;0;12;0.712626263
finishing ;7;0.8;2.9;1440;0;0;0;0;8;0.681060606
finishing ;11;0.8;4.15;900;0;0;0;0;5;0.515606061
sweing;11;0.35;12.52;25920;38;0;0;0;54;0.349951389
sweing;5;0.7;42.41;10260;0;0;0;0;57;0.233705476
finishing ;1;0.8;3.94;2160;0;0;0;0;8;985
finishing ;3;0.75;4.15;2760;0;0;0;0;12;0.930340376
finishing ;4;0.8;3.94;6000;0;0;0;0;20;0.911589744
finishing ;9;0.8;3.94;1440;0;0;0;0;8;0.858143939
sweing;9;0.8;26.16;10620;75;0;0;0;59;0.851174114
sweing;7;0.8;25.9;10170;60;0;0;0;56.5;0.850136766
sweing;8;0.8;25.9;10170;60;0;0;0;56.5;0.850136766
finishing ;10;0.8;3.94;1440;0;0;0;0;8;0.846950758
finishing ;11;0.8;4.15;1440;0;0;0;0;8;0.817424242
finishing ;2;0.8;3.94;1440;0;0;0;0;8;0.817102273
sweing;4;0.8;28.08;10440;63;0;0;0;58;0.801028213
sweing;2;0.8;28.08;10350;63;0;0;0;57.5;0.800594466
sweing;12;0.8;11.61;4710;50;0;0;0;31.5;0.800346445
sweing;6;0.8;11.41;5490;50;0;0;0;30.5;0.800343766
sweing;1;0.8;26.16;10620;63;0;0;0;59;0.800117103
sweing;10;0.8;28.08;10530;63;0;0;0;58.5;0.8
sweing;3;0.75;19.87;7080;45;0;0;0;56;0.750098351
sweing;11;0.5;12.52;9540;38;0;0;0;53;0.673245283
finishing ;7;0.8;2.9;1440;0;0;0;0;8;0.670075758
finishing ;8;0.8;2.9;1440;0;0;0;0;8;0.628882576
sweing;5;0.5;20.79;7680;0;0;0;0;56;0.388007813
finishing ;5;0.5;4.15;1440;0;0;0;0;8;0.337973485
finishing ;3;0.75;4.15;1440;0;0;0;0;8;0.93532197
finishing ;4;0.8;3.94;3600;0;0;0;0;20;0.925643939
sweing;9;0.8;26.16;10620;88;0;0;0;59;0.900215716
finishing ;1;0.8;3.94;1440;0;0;0;0;8;0.873068182
finishing ;9;0.8;3.94;1440;0;0;0;0;8;0.858143939
sweing;1;0.8;26.16;10620;75;0;0;0;59;0.850502311
sweing;7;0.8;25.9;10170;45;0;0;0;56.5;0.850136766
sweing;8;0.8;25.9;10170;60;0;0;0;56.5;0.850136766
finishing ;10;0.8;3.94;1440;0;0;0;0;8;0.828295455
finishing ;2;0.8;3.94;1440;0;0;0;0;8;0.820833333
sweing;6;0.8;11.41;5490;50;0;0;0;30.5;0.800343766
sweing;12;0.8;11.61;5670;50;0;0;0;31.5;0.800246753
sweing;2;0.8;28.08;10530;63;0;0;0;58.5;0.8
sweing;10;0.8;28.08;10530;38;0;0;0;58.5;0.8
sweing;3;0.8;19.87;6420;0;0;0;0;55;0.690182815
finishing ;11;0.8;4.15;1440;0;0;0;0;8;0.668087121
finishing ;8;0.8;2.9;1440;0;0;0;0;8;0.653598485
finishing ;5;0.5;4.15;1440;0;0;0;0;8;0.609138258
sweing;11;0.6;12.52;9540;30;0;0;0;53;0.600229846
finishing ;6;0.8;2.9;1440;0;0;0;0;8;0.597348485
finishing ;7;0.8;2.9;1440;0;0;0;0;8;0.590435606
sweing;4;0.8;50.48;10440;0;0;0;0;58;0.473134796
sweing;5;0.6;20.79;7980;0;0;0;0;57;0.452979626
finishing ;1;0.8;3.94;1440;0;0;0;0;8;0.955151515
finishing ;4;0.35;4.3;3240;0;0;0;0;18;0.942213805
finishing ;3;0.8;4.15;1800;0;0;0;0;10;0.905454545
finishing ;2;0.8;3.94;1440;0;0;0;0;8;0.880530303
finishing ;9;0.8;3.94;1440;0;0;0;0;8;0.858143939
sweing;1;0.8;26.16;8220;75;0;0;0;59;0.850522167
sweing;9;0.8;26.16;10620;75;0;0;0;59;0.850502311
sweing;7;0.8;25.9;10170;60;0;0;0;56.5;0.850136766
sweing;8;0.8;25.9;10170;60;0;0;0;56.5;0.850136766
finishing ;6;0.8;2.9;1440;0;0;0;0;8;0.817424242
finishing ;5;0.65;4.15;1440;0;0;0;0;8;0.809564394
sweing;3;0.8;19.87;9900;0;0;0;0;55;0.800273829
sweing;6;0.8;11.41;5670;50;0;0;0;31.5;0.800181818
sweing;12;0.8;11.61;4470;50;0;0;0;31.5;0.80007657
sweing;2;0.8;28.08;10530;63;0;0;0;58.5;0.8
finishing ;8;0.8;2.9;1440;0;0;0;0;8;725
sweing;10;0.8;50.48;6930;45;0;0;0;58.5;0.688557555
sweing;5;0.65;20.79;8460;0;0;0;0;59;0.650040783
sweing;11;0.65;12.52;9540;44;0;0;0;53;0.64998056
finishing ;7;0.8;2.9;1440;0;0;0;0;8;0.648106061
finishing ;11;0.8;4.15;1440;0;0;0;0;8;0.640577652
sweing;4;0.35;22.4;7350;0;0;0;0;51.5;0.35063299
finishing ;10;0.8;3.94;1440;0;0;0;0;8;0.24625
finishing ;4;0.35;4.3;2160;0;0;0;0;12;0.952020202
finishing ;1;0.8;3.94;1440;0;0;0;0;2;0.951420455
finishing ;10;0.8;3.94;5400;0;0;0;0;20;0.912766667
finishing ;3;0.8;4.15;1620;0;0;0;0;9;0.901262626
finishing ;9;0.8;3.94;1440;0;0;0;0;8;0.858143939
sweing;1;0.8;26.16;10620;75;0;0;0;59;0.850502311
sweing;9;0.8;26.16;10620;75;0;0;0;59;0.850502311
sweing;8;0.8;25.9;10260;60;0;0;0;57;0.850252525
sweing;7;0.8;25.9;10170;60;0;0;0;56.5;0.850136766
finishing ;5;0.65;4.15;1440;0;0;0;0;8;0.821354167
finishing ;2;0.8;3.94;1440;0;0;0;0;8;0.805909091
sweing;6;0.8;11.61;5670;50;0;0;0;31.5;0.800246753
sweing;12;0.8;11.61;5670;50;0;0;0;31.5;0.800246753
sweing;2;0.8;28.08;10530;50;0;0;0;58.5;0.8
sweing;3;0.8;42.27;9900;54;0;0;0;55;0.705576584
finishing ;8;0.8;2.9;1440;0;0;0;0;8;0.681060606
finishing ;7;0.8;2.9;1440;0;0;0;0;8;0.670075758
finishing ;11;0.8;4.15;1440;0;0;0;0;8;0.601278409
sweing;11;0.7;27.13;9540;37;0;0;0;53;0.582301029
sweing;5;0.7;20.79;10440;0;0;0;0;58;0.526810345
sweing;4;0.5;22.4;10170;23;0;0;0;56.5;0.500380799
sweing;10;0.35;22.4;10170;23;0;0;0;56.5;0.35020649
finishing ;11;0.8;4.15;1980;0;0;0;0;7;0.934607438
finishing ;4;0.35;4.3;2700;0;0;0;0;8;0.908080808
sweing;7;0.8;25.9;10170;70;0;0;0;56.5;0.900144811
finishing ;1;0.8;3.94;1440;0;0;0;0;8;0.891723485
finishing ;5;0.65;4.15;1440;0;0;0;0;15;0.864583333
finishing ;9;0.8;3.94;1440;0;0;0;0;8;0.858143939
sweing;9;0.8;26.16;10620;75;0;0;0;59;0.850502311
sweing;8;0.8;25.9;10170;60;0;0;0;56.5;0.850136766
finishing ;7;0.8;2.9;1440;0;0;0;0;8;0.837594697
finishing ;3;0.8;4.15;1440;0;0;0;0;7;0.820833333
sweing;12;0.8;11.61;2970;50;0;0;0;31.5;0.800313433
sweing;6;0.8;11.61;5670;38;0;0;0;31.5;0.800246753
sweing;1;0.8;26.16;10620;63;0;0;0;59;0.800117103
sweing;5;0.7;20.79;7320;0;0;0;0;58;0.700095563
finishing ;8;0.8;2.9;1440;0;0;0;0;8;0.667329545
sweing;4;0.6;22.4;5100;23;0;0;0;57;0.600369686
sweing;10;0.5;22.4;3390;23;0;0;0;56.5;0.499980334
sweing;11;0.35;14.61;7200;23;0;0;0;55;0.35003125
finishing ;10;0.8;3.94;1260;0;0;0;0;8;0.332359307
sweing;2;0.8;51.02;4260;27;0;0;0;57;0.311207464
finishing ;2;0.8;3.94;1260;0;0;0;0;8;0.247316017
finishing ;4;0.35;4.3;3600;0;0;0;0;20;0.988636364
finishing ;10;0.8;3.94;3420;0;0;0;0;19;0.953110048
finishing ;1;0.8;3.94;1440;0;0;0;0;8;0.884261364
finishing ;5;0.65;4.15;1440;0;0;0;0;8;0.860653409
finishing ;9;0.8;3.94;1440;0;0;0;0;8;0.858143939
sweing;1;0.8;26.16;10620;75;0;0;0;59;0.850502311
sweing;8;0.8;25.9;8970;60;0;0;0;56.5;0.850415628
sweing;7;0.8;25.9;10170;60;0;0;0;56.5;0.850136766
sweing;9;0.8;26.16;10620;63;0;0;0;59;0.800117103
sweing;6;0.8;11.61;4950;38;0;0;0;31.5;0.80003139
sweing;12;0.8;11.61;4950;50;0;0;0;31.5;0.80003139
sweing;5;0.7;20.79;10440;0;0;0;0;58;0.700060345
finishing ;7;0.8;2.9;1440;0;0;0;0;8;0.689299242
sweing;3;0.5;22.52;10170;30;0;0;0;56.5;0.660683293
sweing;4;0.65;22.52;10080;26;0;0;0;56;0.650130952
finishing ;8;0.8;2.9;1440;0;0;0;0;8;0.606912879
sweing;10;0.6;22.52;10170;23;0;0;0;56.5;0.600291767
sweing;11;0.5;14.89;9900;30;0;0;0;55;0.500025069
sweing;2;0.5;22.94;9810;23;0;0;0;54.5;0.499998888
finishing ;5;0.65;4.15;2700;0;0;0;0;15;0.98719697
finishing ;2;0.8;3.94;1800;0;0;0;0;10;0.980909091
finishing ;10;0.8;3.94;1440;0;0;0;0;8;0.974621212
finishing ;1;0.8;3.94;1440;0;0;0;0;8;0.884261364
finishing ;9;0.8;3.94;1800;0;0;0;0;10;0.82680303
sweing;6;0.8;11.41;5490;63;0;0;0;30.5;0.800343766
sweing;12;0.8;11.61;5670;63;0;0;0;31.5;0.800246753
sweing;7;0.8;25.9;10170;50;0;0;0;56.5;0.800128721
sweing;8;0.8;25.9;10170;50;0;0;0;56.5;0.800128721
sweing;1;0.8;48.68;10620;63;0;0;0;59;0.800117103
sweing;9;0.8;26.16;10620;63;0;0;0;59;0.800117103
sweing;2;0.6;22.94;6570;23;0;0;0;56.5;0.77011398
sweing;4;0.7;22.52;10170;50;0;0;0;56.5;0.7005417
finishing ;8;0.8;2.9;1440;0;0;0;0;8;0.675568182
finishing ;7;0.8;2.9;1440;0;0;0;0;8;0.661837121
sweing;10;0.65;22.52;9720;35;0;0;0;54;0.650198653
sweing;3;0.6;22.52;10170;30;0;0;0;56.5;0.600291767
sweing;11;0.6;14.89;10080;38;0;0;0;56;0.600273268
finishing ;6;0.8;2.9;900;0;0;0;0;5;0.465757576
sweing;5;0.7;41.19;10440;21;0;0;0;58;0.452012539
finishing ;11;0.8;4.15;1260;0;0;0;0;7;0.313852814
finishing ;5;0.6;4.15;1440;0;0;0;0;8;0.852793561
finishing ;11;0.65;4.15;2160;0;0;0;0;12;0.838383838
finishing ;6;0.8;2.9;1800;0;0;0;0;10;0.804848485
sweing;6;0.8;11.41;5490;63;0;0;0;30.5;0.800343766
sweing;7;0.8;48.84;10170;50;0;0;0;56.5;0.800128721
sweing;8;0.8;25.9;10170;38;0;0;0;56.5;0.800128721
sweing;9;0.8;26.16;3660;50;0;0;0;59;0.800015009
sweing;4;0.7;22.52;10170;50;0;0;0;56.5;0.7005417
sweing;10;0.7;22.52;10080;40;0;0;0;56;0.700094156
finishing ;7;0.8;2.9;1440;0;0;0;0;8;0.692045455
sweing;12;0.8;26.87;5670;56;0;0;0;31.5;0.662255892
sweing;3;0.65;22.52;10170;35;0;0;0;56.5;0.650416734
sweing;11;0.65;14.89;10260;44;0;0;0;57;0.650299575
sweing;2;0.65;22.94;10170;26;0;0;0;56.5;0.650243497
finishing ;8;0.8;2.9;1440;0;0;0;0;8;0.639867424
sweing;5;0.6;20.4;10440;30;0;0;0;58;0.600062696
finishing ;9;0.8;3.94;1800;0;0;0;0;10;0.582045455
sweing;1;0.8;49.1;10350;24;0;0;0;57.5;0.403242161
finishing ;10;0.7;3.94;1440;0;0;0;0;8;0.235795455
finishing ;4;0.7;4.3;5040;0;0;0;0;28;0.977272727
finishing ;9;0.8;3.94;1800;0;0;0;0;10;0.964106061
finishing ;5;0.65;4.15;1440;0;0;0;0;8;0.958901515
sweing;6;0.8;11.41;4380;50;0;0;0;31;0.800358775
sweing;8;0.8;25.9;3630;50;0;0;0;56.5;0.800162602
sweing;9;0.8;26.16;10620;63;0;0;0;59;0.800117103
finishing ;12;0.8;2.9;1440;0;0;0;0;8;0.793844697
sweing;2;0.7;22.94;10170;38;0;0;0;56.5;0.750517565
sweing;4;0.7;22.52;10260;63;0;0;0;57;0.750068049
sweing;3;0.7;22.52;10170;50;0;0;0;56.5;0.750062751
sweing;10;0.7;22.52;10080;63;0;0;0;56;0.750057359
sweing;11;0.7;14.89;10260;50;0;0;0;57;0.700170388
finishing ;8;0.8;2.9;1440;0;0;0;0;8;0.683806818
sweing;5;0.65;20.4;8280;35;0;0;0;58;0.650066445
sweing;7;0.8;48.84;10260;30;0;0;0;57;0.576460393
sweing;1;0.5;22.94;10170;30;0;0;0;56.5;0.549969429
finishing ;10;0.7;3.94;1440;0;0;0;0;8;0.538399621
finishing ;11;0.7;4.15;1440;0;0;0;0;8;0.409545455
sweing;12;0.35;15.26;6120;23;0;0;0;34;0.35021836
finishing ;5;0.7;4.15;1440;0;0;0;0;8;1.033570076
sweing;6;0.8;11.41;5580;63;0;0;0;31;0.800261486
sweing;8;0.8;25.9;10170;50;0;0;0;56.5;0.800128721
sweing;9;0.8;26.16;10620;63;0;0;0;59;0.800117103
sweing;4;0.7;22.52;10260;63;0;0;0;57;0.750068049
sweing;10;0.7;22.52;10080;63;0;0;0;56;0.750057359
sweing;3;0.7;22.52;8460;50;0;0;0;57;0.750037968
sweing;2;0.7;22.94;10260;50;0;0;0;57;0.750031898
finishing ;9;0.8;3.94;1800;0;0;0;0;10;0.72830303
sweing;11;0.7;14.89;10260;50;0;0;0;57;0.700170388
sweing;5;0.7;20.4;10260;50;0;0;0;57;0.700063796
finishing ;8;0.8;2.9;1440;0;0;0;0;8;0.639867424
sweing;12;0.5;15.26;3720;23;0;0;0;34;0.500290419
sweing;7;0.35;22.94;10080;30;0;0;0;56;0.400332792
finishing ;11;0.7;4.15;2700;0;0;0;0;15;0.362666667
finishing ;4;0.75;4.3;6000;0;0;0;0;20;0.978525641
finishing ;2;0.7;3.94;5100;0;0;0;0;17;0.912202112
sweing;4;0.75;22.52;10080;94;0;0;0;56;0.900556277
sweing;6;0.8;11.61;5760;75;0;0;0;89;0.850410511
finishing ;9;0.8;3.94;2400;0;0;0;0;8;0.827147436
sweing;8;0.8;25.9;7470;38;0;0;0;56.5;0.800436542
sweing;2;0.7;22.94;10500;60;0;0;0;57;0.800415742
sweing;10;0.7;22.52;10080;75;0;0;0;56;0.800020563
finishing ;5;0.7;4.15;2400;0;0;0;0;8;0.758173077
sweing;5;0.7;20.4;10440;50;0;0;0;58;0.750344828
sweing;3;0.7;22.52;10260;63;0;0;0;57;0.750068049
sweing;11;0.7;14.89;10260;50;0;0;0;57;0.700170388
sweing;1;0.65;22.94;10260;34;0;0;0;57;0.700029771
sweing;12;0.6;15.26;6360;23;0;0;0;34;0.60017284
finishing ;8;0.8;2.9;2400;0;0;0;0;8;0.594871795
sweing;9;0.8;54.56;4140;29;0;0;0;58;0.520237649
finishing ;1;0.65;3.94;2400;0;0;0;0;8;0.505128205
sweing;7;0.5;22.52;10080;23;0;0;0;56;0.500241342
finishing ;11;0.7;4.15;2700;0;0;0;0;9;0.470769231
finishing ;7;0.6;3.94;6000;0;0;0;0;10;0.957638889
finishing ;10;0.75;3.94;8400;0;0;0;0;14;0.940701058
sweing;4;0.75;22.52;10080;81;0;0;0;56;0.849983766
sweing;2;0.7;22.94;10620;60;0;0;0;57;0.800302791
sweing;6;0.8;11.61;6360;63;0;0;0;32;0.800191989
sweing;10;0.75;22.52;10080;55;0;0;0;56;0.800020563
sweing;1;0.7;22.94;12180;63;0;0;0;57;0.750162367
sweing;3;0.7;22.52;10260;63;0;0;0;57;0.750068049
finishing ;5;0.7;4.15;9000;0;0;0;0;15;0.742901235
sweing;5;0.7;20.4;10440;40;0;0;0;58;0.700250784
sweing;11;0.7;14.89;10260;50;0;0;0;57;0.700170388
finishing ;4;0.75;4.3;9000;0;0;0;0;15;0.670216049
finishing ;1;0.7;3.94;15000;0;0;0;0;25;0.649662222
finishing ;2;0.7;3.94;15000;0;0;0;0;25;0.649662222
finishing ;6;0.8;2.9;4800;0;0;0;0;8;0.626822917
sweing;12;0.6;15.26;6960;23;0;0;0;34;0.600436426
sweing;7;0.6;22.52;10260;23;0;0;0;57;0.60041361
sweing;8;0.8;40.99;10770;30;0;0;0;56.5;0.555500132
